id;email;name;phone;birth_date;cpf
356cf8b9-38e6-48e0-a842-ab5cb343b69d;admin@test.com;Admin Teste;00000000000;2000-01-01;51806460068
516f15bb-17ff-4a61-9d3c-e86d89b95217;test@email.com;Dev Teste;99999999999;2000-01-01;17210167080
01aec6db-4be8-43ed-8929-a0f8f27884cd;jose@gmail.com;José da Silva Santos;82982229217;1984-10-23;05407231000
acc978cc-613f-4f29-ba82-0b1ceec320bd;lucia@gmail.com;Lucia de Souza;82983314238;1990-06-12;24162564086
02e62826-bf41-4944-adb2-051b6a30a131;ana@gmail.com;Ana Clara Silva;48985931654;1995-01-07;86846248234
11130b4c-a00e-48cd-aa23-7914e39a5955;carlos@gmail.com;Carlos Eduardo Santos;61999308037;1992-03-20;26342809046
7e7cc9cb-e4a4-4404-aa99-6793780443f3;mariana@gmail.com;Mariana Oliveira;67992327206;1986-11-03;35303565220
1a7b07c1-f839-4caa-ba08-482792d75e25;joão@gmail.com;João Pedro Almeida;27994216215;1967-01-13;19660469012
170fbda4-78a8-4c2e-bd0d-0c682610b4b8;larissa@gmail.com;Larissa Costa;67989050142;1980-06-06;12947818393
74c7beea-e835-4ea0-8d89-bc40d96e9aad;guilherme@gmail.com;Guilherme Rocha;82982926458;1978-05-02;62059613264
886125d1-4a29-40ac-a0ea-a2370e820ed8;beatriz@gmail.com;Beatriz Mendes;51991067734;1957-11-18;07614524780
fbaedc83-938a-44dc-8a82-c78682905784;rafael@gmail.com;Rafael Pereira;84983858369;1978-01-27;39538042190
02f3b455-2fbc-4bd1-9efc-848ecbd67fcf;isabela@gmail.com;Isabela Lima;82996367748;1997-07-18;11410291545
3787f99a-66bd-4be3-93ff-78faaa8b54e1;victor@gmail.com;Victor Hugo Ribeiro;21982756498;1970-10-17;10083819770
